City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
crotone,39.09,17.12,60.21,54,6,3.06,IT,1605497683
chignautla,19.83,-97.38,53.92,100,83,3.69,MX,1605497683
gerash,27.67,54.14,51.8,66,0,2.42,IR,1605497683
soe,-9.86,124.28,92.14,27,37,12.68,ID,1605497683
igarka,67.47,86.58,3.11,94,100,6.33,RU,1605497683
davila,18.47,120.58,89.6,66,20,14.99,PH,1605497683
balad,34.02,44.15,63.63,39,95,3.27,IQ,1605497683
takoradi,4.88,-1.76,77.77,88,2,5.08,GH,1605497684
gisborne,-38.65,178.0,75.0,56,1,5.99,NZ,1605497684
markova,48.68,24.41,40.14,80,77,2.84,UA,1605497684
bow island,49.87,-111.37,33.8,69,12,11.41,CA,1605497684
erzurum,40.0,41.5,24.8,92,20,2.24,TR,1605497684
sumenep,-7.02,113.87,88.65,58,0,11.43,ID,1605497684
port macquarie,-31.43,152.92,95.0,43,17,1.99,AU,1605497456
hofn,64.25,-15.21,37.4,77,99,20.29,IS,1605497684
niamey,13.51,2.11,77.0,29,0,8.05,NE,1605497685
puxinana,-7.16,-35.96,71.6,100,75,8.05,BR,1605497685
sorland,67.67,12.69,47.68,82,100,16.42,NO,1605497685
lorengau,-2.02,147.27,84.85,74,100,11.16,PG,1605497685
mandalgovi,45.76,106.27,34.3,86,100,5.97,MN,1605497685
haimen,23.19,116.61,78.8,65,0,4.47,CN,1605497685
fez,34.04,-5.0,62.6,51,0,8.05,MA,1605497405
quatre cocos,-20.21,57.76,75.99,56,40,10.29,MU,1605497686
manitouwadge,49.12,-85.84,33.8,95,100,3.36,CA,1605497686
flinders,-34.58,150.86,91.99,48,100,4.0,AU,1605497686
ha giang,22.83,104.98,68.22,84,100,1.16,VN,1605497686
santa cruz,-17.8,-63.17,80.6,69,40,9.17,BO,1605497619
caravelas,-17.71,-39.25,74.75,93,100,8.66,BR,1605497686
half moon bay,37.46,-122.43,59.0,76,20,6.93,US,1605497686
sao felix do xingu,-6.64,-51.99,73.11,93,82,0.83,BR,1605497687
comodoro rivadavia,-45.87,-67.5,66.2,42,0,10.29,AR,1605497687
vestmannaeyjar,63.44,-20.27,40.08,70,100,6.98,IS,1605497687
lethem,3.38,-59.8,78.87,78,95,6.98,GY,1605497687
sydney,-33.87,151.21,102.0,30,0,16.11,AU,1605497625
tual,-5.67,132.75,83.62,75,93,13.0,ID,1605497687
lodeynoye pole,60.73,33.55,30.87,95,58,6.87,RU,1605497687
yinchuan,38.47,106.27,57.49,50,19,12.55,CN,1605497687
nexo,55.06,15.13,50.0,87,100,18.34,DK,1605497687
rodrigues alves,-7.74,-72.65,75.49,89,67,2.3,BR,1605497688
ninghai,29.29,121.42,73.0,73,75,2.24,CN,1605497688
freeport,40.66,-73.58,55.4,76,90,9.17,US,1605497640
rocha,-34.48,-54.33,55.85,92,18,6.6,UY,1605497688
codrington,-38.27,141.97,61.34,61,0,22.84,AU,1605497688
barnala,30.38,75.55,60.8,82,75,2.24,IN,1605497688
kouqian,43.64,126.46,43.38,55,0,2.68,CN,1605497688
westport,41.14,-73.36,55.0,65,100,15.52,US,1605497689
aksu,41.12,80.26,44.56,46,100,4.43,CN,1605497689
collie,-33.37,116.15,66.99,54,58,10.0,AU,1605497689
toguchin,55.24,84.39,18.79,95,77,8.66,RU,1605497689
haysville,37.56,-97.35,45.0,41,1,9.17,US,1605497689
marsh harbour,26.54,-77.06,77.38,77,1,10.36,BS,1605497689
vostok,46.49,135.88,23.04,81,3,15.59,RU,1605497689
gorontalo,0.54,123.06,87.06,70,45,4.34,ID,1605497689
saint-augustin,51.23,-58.65,30.58,91,0,5.91,CA,1605497690
pasni,25.26,63.47,68.38,32,0,18.95,PK,1605497690
tataru,45.1,26.33,39.2,86,5,3.36,RO,1605497690
kismayo,-0.36,42.55,81.05,77,75,11.81,SO,1605497690
russell,32.35,-85.2,60.8,71,1,4.7,US,1605497690
sulangan,11.14,123.72,83.26,76,87,8.5,PH,1605497690
diamantino,-14.41,-56.45,77.11,70,82,2.17,BR,1605497690
tuatapere,-46.13,167.68,59.0,77,12,18.99,NZ,1605497690
lingao,19.91,109.69,77.63,82,95,15.99,CN,1605497691
maceio,-9.67,-35.74,75.2,94,75,3.36,BR,1605497691
axim,4.87,-2.24,77.94,88,1,5.66,GH,1605497691
kidal,18.44,1.41,67.26,25,0,12.68,ML,1605497691
birjand,32.87,59.22,26.6,53,0,4.7,IR,1605497691
tottori,35.5,134.23,68.0,68,20,3.36,JP,1605497496
te anau,-45.42,167.72,63.97,46,1,7.83,NZ,1605497691
derazhnya,49.27,27.43,39.2,84,20,4.56,UA,1605497691
khuzdar,27.74,66.64,54.18,26,0,2.84,PK,1605497691
neiafu,-18.65,-173.98,82.4,69,40,6.93,TO,1605497692
san quintin,30.48,-115.95,65.19,46,0,3.0,MX,1605497692
cockburn town,21.46,-71.14,80.1,74,35,20.42,TC,1605497395
jiayuguan,39.82,98.3,42.42,50,100,6.6,CN,1605497692
lalmohan,22.34,90.74,80.33,58,0,5.66,BD,1605497692
letlhakane,-21.42,25.58,78.33,22,96,8.41,BW,1605497692
makaha,21.47,-158.22,82.0,73,1,5.82,US,1605497692
muroto,33.28,134.15,73.4,64,75,4.7,JP,1605497692
gravdal,68.12,13.5,44.98,85,100,12.41,NO,1605497692
aljezur,37.32,-8.8,62.01,95,28,1.99,PT,1605497692
zhangye,38.93,100.45,44.83,48,15,4.47,CN,1605497693
innisfail,-17.53,146.03,88.0,36,68,8.01,AU,1605497406
duncan,34.5,-97.96,42.8,56,1,3.36,US,1605497693
mezen,65.85,44.24,31.71,97,98,10.87,RU,1605497693
puerto carreno,6.19,-67.49,79.14,88,54,5.93,CO,1605497693
najran,17.49,44.13,57.2,41,0,4.7,SA,1605497693
caluquembe,-13.78,14.68,60.62,96,99,2.91,AO,1605497693
changping,40.22,116.22,53.01,57,31,2.24,CN,1605497693
balasheyka,53.28,48.09,13.84,89,0,4.47,RU,1605497693
pathein,16.78,94.73,83.34,71,1,10.33,MM,1605497693
pimentel,-6.84,-79.93,62.94,88,98,10.49,PE,1605497694
camacupa,-12.02,17.48,62.28,98,100,1.7,AO,1605497694
neryungri,56.67,124.65,9.75,89,69,8.95,RU,1605497694
gat,31.61,34.76,61.0,100,23,1.01,IL,1605497694
naze,28.37,129.48,78.8,61,20,11.41,JP,1605497694
korla,41.76,86.15,44.83,52,99,2.21,CN,1605497694
regeneracao,-6.24,-42.69,78.76,60,78,1.32,BR,1605497694
rio grande,-32.03,-52.1,68.0,95,28,1.01,BR,1605497694
banda aceh,5.56,95.32,85.59,69,62,10.89,ID,1605497613
hasaki,35.73,140.83,72.0,56,20,3.36,JP,1605497695
chimbarongo,-34.7,-71.05,60.8,55,0,2.24,CL,1605497658
luderitz,-26.65,15.16,56.7,80,54,13.76,NA,1605497695
rawson,-43.3,-65.1,64.38,37,58,8.52,AR,1605497695
deputatskiy,69.3,139.9,-12.6,90,73,4.23,RU,1605497695
mandali,33.75,45.55,62.74,36,7,4.81,IQ,1605497695
saulkrasti,57.26,24.41,39.2,93,90,16.11,LV,1605497695
la roche-sur-yon,46.67,-1.43,51.8,87,40,6.93,FR,1605497695
mogadishu,2.04,45.34,80.11,78,74,12.66,SO,1605497590
yeppoon,-23.13,150.73,91.4,43,0,8.05,AU,1605497695
cabrero,-37.03,-72.4,59.0,62,2,5.82,CL,1605497417
cooma,-36.23,149.13,69.8,49,59,21.92,AU,1605497696
tuy hoa,13.08,109.3,81.43,82,5,10.33,VN,1605497696
ulladulla,-35.35,150.47,93.2,20,0,19.46,AU,1605497696
nouadhibou,20.93,-17.03,73.4,46,100,11.41,MR,1605497696
kahului,20.89,-156.47,80.6,65,1,12.75,US,1605497448
havre,49.58,0.33,53.6,81,90,24.16,FR,1605497696
vila franca do campo,37.72,-25.43,60.8,87,75,6.93,PT,1605497696
murray bridge,-35.12,139.27,69.01,50,0,17.07,AU,1605497696
capiibary,-24.8,-56.03,71.71,93,50,2.44,PY,1605497696
progreso,21.28,-89.67,78.8,88,40,5.82,MX,1605497696
trincomalee,8.57,81.23,83.3,76,100,2.84,LK,1605497697
kurilsk,45.23,147.88,45.7,77,100,19.98,RU,1605497697
baruun-urt,46.68,113.28,38.89,71,99,5.35,MN,1605497545
melur,10.05,78.33,78.8,88,40,8.05,IN,1605497697
livingston,55.9,-3.52,51.8,87,75,14.99,GB,1605497697
husavik,66.04,-17.34,33.8,69,90,4.7,IS,1605497697
kutum,14.2,24.67,55.35,55,0,10.56,SD,1605497413
yar-sale,66.83,70.83,8.55,94,93,5.91,RU,1605497697
antalaha,-14.9,50.28,75.87,73,8,9.57,MG,1605497698
ixtapa,20.7,-105.2,75.99,83,5,2.37,MX,1605497698
sola,-13.88,167.55,87.8,70,75,9.17,VU,1605497698
seddon,-37.81,144.89,75.99,31,52,20.8,AU,1605497698
sambava,-14.27,50.17,75.67,76,19,13.69,MG,1605497698
svetlaya,46.54,138.33,36.79,65,0,11.45,RU,1605497698
kenai,60.55,-151.26,19.4,79,1,6.31,US,1605497698
prenzlau,53.32,13.87,45.0,91,100,9.71,DE,1605497545
nantucket,41.28,-70.1,59.0,82,90,28.86,US,1605497698
kirakira,-10.45,161.92,85.59,70,100,15.14,SB,1605497699
guerrero negro,27.98,-114.06,65.35,65,0,4.12,MX,1605497699
alugan,12.22,125.48,82.98,83,85,7.43,PH,1605497699
kanniyakumari,8.08,77.57,83.34,75,100,19.19,IN,1605497699
mount gambier,-37.83,140.77,62.6,51,75,24.16,AU,1605497699
san cristobal,7.77,-72.22,66.36,92,92,2.93,VE,1605497699
aktash,50.3,87.73,13.26,87,67,6.06,RU,1605497699
sayyan,15.17,44.32,48.99,47,53,2.84,YE,1605497473
kashima,33.11,130.09,71.6,53,75,5.82,JP,1605497699
svetlogorsk,52.63,29.73,37.98,90,100,10.29,BY,1605497699
gaoual,11.75,-13.2,70.02,48,0,1.9,GN,1605497699
prieska,-29.66,22.75,69.37,40,0,1.99,ZA,1605497699
tarko-sale,64.92,77.78,7.0,88,100,11.32,RU,1605497700
mporokoso,-9.37,30.12,60.78,95,99,1.25,ZM,1605497700
ust-kut,56.79,105.77,14.94,92,57,0.09,RU,1605497700
kenitra,34.26,-6.58,57.2,82,40,1.52,MA,1605497700
alofi,-19.06,-169.92,82.4,69,40,12.75,NU,1605497700
alyangula,-13.85,136.42,91.4,59,75,10.29,AU,1605497700
marawi,8.0,124.29,84.0,75,84,5.99,PH,1605497700
am timan,11.03,20.28,67.44,30,39,7.0,TD,1605497700
bermejo,-32.88,-68.8,66.2,63,40,5.61,AR,1605497700
ancud,-41.87,-73.82,53.01,87,90,1.12,CL,1605497701
lower burrell,40.55,-79.76,46.0,65,100,4.0,US,1605497701
shache,38.42,77.24,47.39,42,100,6.04,CN,1605497701
liwale,-9.77,37.93,71.69,87,100,4.79,TZ,1605497701
majene,-3.54,118.97,85.77,71,61,7.76,ID,1605497701
loralai,30.37,68.6,47.68,44,0,3.62,PK,1605497701
gold coast,-28.0,153.43,87.01,69,27,14.99,AU,1605497467
mount isa,-20.73,139.5,100.4,22,63,12.75,AU,1605497701
klaksvik,62.23,-6.59,42.8,93,100,14.99,FO,1605497701
fort beaufort,-32.77,26.63,61.9,90,100,3.29,ZA,1605497702
siniscola,40.57,9.69,58.86,84,35,6.26,IT,1605497702
acapulco,16.86,-99.89,82.4,78,40,2.24,MX,1605497702
port shepstone,-30.74,30.45,68.14,85,93,5.95,ZA,1605497702
moranbah,-22.0,148.05,99.63,17,0,15.97,AU,1605497702
kedzierzyn-kozle,50.35,18.23,46.0,95,84,1.99,PL,1605497702
durban,-29.86,31.03,68.0,93,0,5.82,ZA,1605497529
tilichiki,60.47,166.1,26.19,100,100,8.46,RU,1605497702
miandrivazo,-19.52,45.47,80.67,60,18,2.04,MG,1605497702
bonavista,48.65,-53.11,33.01,92,97,3.36,CA,1605497703
perbaungan,3.57,98.96,84.2,79,40,3.36,ID,1605497703
yanji,42.91,129.51,47.59,46,24,7.92,CN,1605497703
gaomi,36.38,119.75,64.4,63,99,2.24,CN,1605497703
aneza,39.09,20.92,55.4,87,20,4.0,GR,1605497703
ronneby,56.21,15.28,50.0,93,100,8.05,SE,1605497703
lavrentiya,65.58,-171.0,31.86,96,100,25.43,RU,1605497703
bonthe,7.53,-12.51,78.67,81,0,3.87,SL,1605497703
weligama,5.97,80.42,75.25,96,100,0.89,LK,1605497704
lake cowichan,48.83,-124.05,39.99,93,20,3.36,CA,1605497406
domoni,-12.26,44.53,79.2,71,0,3.8,KM,1605497704
vanimo,-2.67,141.3,86.65,66,62,8.79,PG,1605497704
micheweni,-4.97,39.83,79.9,79,27,8.03,TZ,1605497704
sortland,68.69,15.42,45.0,75,100,7.0,NO,1605497704
tehachapi,35.13,-118.45,48.99,80,1,5.82,US,1605497552
juneau,58.3,-134.42,26.6,92,75,6.33,US,1605497704
kitob,39.08,66.83,41.04,57,0,1.32,UZ,1605497705
yavaros,26.7,-109.52,73.0,54,0,1.01,MX,1605497705
kamaishi,39.27,141.88,62.6,63,75,3.36,JP,1605497705
kungurtug,50.6,97.52,27.81,92,100,1.99,RU,1605497705
alberdi,-32.89,-60.69,68.0,42,0,8.05,AR,1605497705
gasa,31.5,34.47,61.0,100,38,1.01,PS,1605497705
petropavlovsk-kamchatskiy,53.05,158.65,37.4,59,20,2.24,RU,1605497411
atar,20.52,-13.05,77.92,20,100,12.71,MR,1605497705
kyra,49.58,111.98,31.95,91,100,2.1,RU,1605497706
port-gentil,-0.72,8.78,79.12,86,100,10.87,GA,1605497706
santa fe,-31.63,-60.7,68.0,63,79,8.63,AR,1605497692
simplicio mendes,-7.85,-41.91,81.3,42,89,2.15,BR,1605497706
carutapera,-1.2,-46.02,79.27,84,100,7.25,BR,1605497706
tura,25.52,90.22,79.25,59,0,0.43,IN,1605497706
maragogi,-9.01,-35.22,76.23,86,26,9.17,BR,1605497706
sena madureira,-9.07,-68.66,75.9,83,100,2.28,BR,1605497670
lompoc,34.64,-120.46,69.8,71,1,6.08,US,1605497706
polovinnoye,54.79,65.99,4.37,94,100,8.84,RU,1605497707
erenhot,43.65,111.98,50.83,50,0,10.29,CN,1605497605
rio bueno,-40.32,-72.97,50.0,76,0,5.82,CL,1605497707
umba,66.69,34.34,35.37,86,100,14.56,RU,1605497707
tromso,69.65,18.96,41.0,80,75,8.05,NO,1605497409
mbini,1.57,9.61,78.8,100,40,3.76,GQ,1605497707
sioux lookout,50.1,-91.92,21.2,79,90,20.8,CA,1605497707
hami,42.8,93.45,43.16,58,22,9.37,CN,1605497707
clearwater,27.97,-82.8,75.99,94,0,7.94,US,1605497707
grants,35.15,-107.85,37.4,37,1,5.82,US,1605497665
sao raimundo nonato,-9.02,-42.7,77.45,50,49,3.09,BR,1605497708
matara,5.95,80.54,75.65,96,100,2.15,LK,1605497708
kasama,-10.21,31.18,62.29,94,100,3.71,ZM,1605497708
araguacu,-12.93,-49.83,73.44,89,100,3.02,BR,1605497708
krasnokamensk,50.1,118.04,23.92,96,100,3.62,RU,1605497708
gazojak,41.19,61.4,25.09,91,0,16.51,TM,1605497708
broome,42.25,-75.83,44.6,56,90,16.11,US,1605497708
real,14.66,121.6,90.0,70,75,3.36,PH,1605497709
prince rupert,54.32,-130.32,44.6,86,75,5.82,CA,1605497709
manzhouli,49.6,117.43,29.03,91,100,6.11,CN,1605497709
kaspiyskiy,45.39,47.37,36.37,79,100,22.88,RU,1605497709
nuevo ideal,24.89,-105.07,53.91,69,0,1.72,MX,1605497709
morondava,-20.28,44.28,79.84,71,1,2.95,MG,1605497709
topolobampo,25.6,-109.05,66.99,81,10,9.48,MX,1605497709
kysyl-syr,63.9,122.76,-6.9,90,78,5.84,RU,1605497709
majdanpek,44.43,21.95,37.99,93,3,3.87,RS,1605497710
arman,59.7,150.17,7.84,84,73,11.97,RU,1605497710
bonfim,3.08,-59.95,79.75,76,99,5.7,BR,1605497710
linxia,35.6,103.21,58.59,38,31,3.15,CN,1605497710
yashkul,46.17,45.34,32.5,89,100,17.72,RU,1605497710
rameswaram,9.28,79.3,81.54,84,100,14.92,IN,1605497710
rabo de peixe,37.8,-25.58,60.8,87,75,6.93,PT,1605497710
meulaboh,4.14,96.13,84.43,69,92,0.81,ID,1605497710
mutis,6.23,-77.4,76.77,84,100,9.26,CO,1605497710
tecoanapa,16.52,-98.75,79.79,80,20,3.71,MX,1605497711
moramanga,-18.93,48.2,64.8,80,84,2.89,MG,1605497711
vila do maio,15.13,-23.22,75.2,78,0,12.75,CV,1605497711
wadi musa,30.32,35.48,43.93,83,0,1.5,JO,1605497711
fomboni,-12.28,43.74,79.29,71,0,7.09,KM,1605497711
swan hill,-35.34,143.55,79.41,22,0,16.73,AU,1605497711
shitanjing,39.23,106.34,48.33,67,44,16.11,CN,1605497711
nizhnevartovsk,60.93,76.55,-5.8,83,90,2.95,RU,1605497711
jerecuaro,20.15,-100.52,64.4,52,5,9.17,MX,1605497711
atambua,-9.11,124.89,90.21,42,37,3.65,ID,1605497711
asau,46.43,26.4,37.0,91,6,3.38,RO,1605497711
ariquemes,-9.91,-63.04,74.48,96,98,3.2,BR,1605497712
tukrah,32.53,20.58,63.3,66,28,2.21,LY,1605497712
paradise,36.1,-115.15,59.0,22,1,3.36,US,1605497712
reforma,18.1,-91.02,72.88,95,81,5.35,MX,1605497712
vesele,47.01,34.91,30.78,96,0,5.84,UA,1605497712
muli,2.92,73.57,81.61,80,100,15.08,MV,1605497712
raudeberg,61.99,5.14,48.99,81,100,32.57,NO,1605497712
labrea,-7.26,-64.8,74.97,95,94,1.79,BR,1605497712
calatayud,41.35,-1.64,59.0,82,0,2.24,ES,1605497712
faanui,-16.48,-151.75,80.47,76,100,7.67,PF,1605497713
belmonte,-15.86,-38.88,77.0,83,20,5.82,BR,1605497713
kasongo,-4.45,26.67,67.41,97,98,1.74,CD,1605497713
cap-haitien,19.76,-72.2,78.73,76,94,13.98,HT,1605497713
touros,-5.2,-35.46,75.2,94,40,3.36,BR,1605497713
dingle,11.0,122.67,86.56,72,24,11.48,PH,1605497713
cartagena del chaira,1.33,-74.84,73.42,92,100,1.66,CO,1605497713
polunochnoye,60.87,60.42,12.4,91,27,2.68,RU,1605497713
nalvo,16.81,120.51,85.89,63,1,5.48,PH,1605497713
muros,42.78,-9.06,48.99,93,40,2.24,ES,1605497713
dillon,34.42,-79.37,70.0,100,1,4.7,US,1605497714
atengo,20.17,-99.33,53.69,89,0,4.54,MX,1605497714
kwinana,-32.25,115.77,73.99,43,40,5.82,AU,1605497445
constantine,36.37,6.61,48.2,93,40,2.04,DZ,1605497714
ketchikan,55.34,-131.65,39.2,80,1,5.82,US,1605497714
plettenberg bay,-34.05,23.37,59.18,81,78,1.57,ZA,1605497714
pionerskiy,54.95,20.23,46.4,93,98,8.95,RU,1605497714
at-bashi,41.17,75.81,25.79,78,1,0.63,KG,1605497714
huarmey,-10.07,-78.15,63.3,86,94,8.57,PE,1605497714
luwingu,-10.26,29.93,61.74,90,97,2.8,ZM,1605497714
ilhabela,-23.78,-45.36,74.14,87,20,8.12,BR,1605497715
zhatay,62.16,129.83,6.3,77,75,8.95,RU,1605497715
bahia blanca,-38.72,-62.27,58.32,40,2,8.63,AR,1605497535
terrace,54.52,-128.6,33.8,93,90,2.24,CA,1605497458
muhos,64.81,25.99,37.99,83,75,12.75,FI,1605497715
nizwa,22.93,57.53,70.56,62,0,2.17,OM,1605497715
bonito,-21.12,-56.48,72.34,93,16,1.97,BR,1605497715
arucas,28.12,-15.52,69.8,88,0,8.05,ES,1605497715
albion,42.24,-84.75,36.0,93,90,16.11,US,1605497715
catuday,16.29,119.81,83.71,70,0,2.57,PH,1605497716
